ID,a_games,a_goals,a_mins,a_tir,b_games,b_goals,b_mins,b_tir,c_goals,last_season,player,position,team
t42TpDhD2HtuWQn8p,19.5,2.4,1106.6999999999998,0.20465913359478935,17.499999999999996,3.6,19.5,9.9,12.836842105263157,4,José Heriberto Izquierdo Mena,MID,Brighton
su2A3r5bhv5qJ9bek,25.0,1.4999999999999998,2054.7,0.489224119755429,12.000000000000002,2.0999999999999996,25.0,15.7,44.43157894736842,4,Davinson Sánchez,DEF,Tottenham
GNvDh7rdrj9xm6KX6,32.2,9.9,2164.7999999999997,0.12967250028145172,4.800000000000001,3.0,32.2,25.599999999999998,24.307894736842105,4,Chris Wood,FWD,Burnley
Eh5YxcmxnyP4CZKHb,11.1,1.4999999999999998,805.8,0.2299134199134199,25.9,2.7,11.1,5.699999999999999,19.84736842105263,4,Serge Aurier,DEF,Tottenham
6s8BL83nBidTHgeLG,10.2,1.2,441.5999999999999,0.07333333333333333,26.799999999999997,1.2,10.2,3.3,17.321052631578947,4,Davide Zappacosta,DEF,Chelsea
hAFRvPQkQ3iX3u9Cp,10.0,0.9,568.8,0.735128205128205,27.0,1.2,10.0,7.3,10.223684210526315,4,Hamza Choudhury,MID,Leicester
QWqMutWqFf4LYYY7p,20.4,4.199999999999999,962.1,0.7701891840671241,16.6,2.7,20.4,16.799999999999997,14.573684210526315,4,Cenk Tosun,FWD,Everton
upDRSqvEbLDFfQSo4,4.5,0.9,186.89999999999998,0.1459247648902821,32.5,0.9,4.5,3.3,9.489473684210527,4,Konstantinos Mavropanos,DEF,Arsenal
NWJazK2vmC5Pp8dvj,19.299999999999997,2.4,904.8,0.8102109150850189,17.7,1.2,19.299999999999997,18.399999999999995,15.063157894736841,4,Jürgen Locadia,FWD,Brighton
TYSaxKtHXJQteNNEK,25.599999999999998,2.7,2205.9,0.6059477124183006,11.399999999999999,2.7,25.599999999999998,22.899999999999995,66.61842105263159,4,Aymeric Laporte,DEF,Man City
o3yy8hhq3ZFb92X5J,21.999999999999996,7.199999999999999,1453.7999999999997,0.24209187910752608,14.999999999999998,4.199999999999999,21.999999999999996,20.8,16.42105263157895,4,Gerard Deulofeu,FWD,Watford
BfFKoMzF95iZw4Fy3,9.399999999999999,0.9,609.9,0.2122222222222222,27.599999999999998,1.2,9.399999999999999,7.8999999999999995,13.926315789473682,4,Emerson Palmieri dos Santos,DEF,Chelsea
