,player,position,team,Expected Points 2019/2020,Std Points 2019/2020,Lower 95% Confidence Points 2019/2020,Upper 95% Confidence Points 2019/2020,Expected Goals 2019/2020,Expected Clean Sheets 2019/2020,Expected Minutes Played 2019/2020
413,Ryan Bertrand,DEF,Southampton,97.9095,15.369948267642265,67.16960346471546,128.64939653528452,1.413,6.3245,2377.6585
414,Maya Yoshida,DEF,Southampton,69.3695,15.638605108832431,38.09228978233514,100.64671021766486,1.393,4.3255,1623.578
415,Matt Targett,DEF,Southampton,40.1635,13.257404261392969,13.648691477214062,66.67830852278594,0.8885,2.278,802.7255
416,Cédric Soares,DEF,Southampton,81.79,16.26529741504901,49.25940516990199,114.32059483009803,1.294,5.0975,1887.441
418,Jack Stephens,DEF,Southampton,77.455,15.377905416538367,46.69918916692326,108.21081083307674,1.626,4.937,1741.028
419,Sam McQueen,DEF,Southampton,4.809,3.523140502449478,0.0,11.855281004898956,0.14,0.0,100.0615
420,Jan Bednarek,DEF,Southampton,60.8845,14.676892033056552,31.5307159338869,90.23828406611311,1.044,3.957,1445.7685
421,Steven Davis,MID,Southampton,27.5595,10.354634699012795,6.85023060197441,48.26876939802559,1.349,0.949,651.481
422,James Ward-Prowse,MID,Southampton,78.7765,14.204631207813797,50.367237584372404,107.1857624156276,4.3835,4.129,1794.901
425,Oriol Romeu Vidal,MID,Southampton,78.969,9.847945927958776,59.27310814408244,98.66489185591755,1.7225,6.5915,2318.9105
426,Pierre-Emile Højbjerg,MID,Southampton,84.235,13.002529561589151,58.2299408768217,110.2400591231783,2.937,6.1155,2239.4535
427,Sofiane Boufal,MID,Southampton,18.0895,7.255307695060241,3.5788846098795197,32.60011539012048,0.9085,0.035,474.7335
428,Joshua Sims,MID,Southampton,10.6385,4.86670501982605,0.905089960347901,20.3719100396521,0.306,0.0,230.4355
429,Nathan Redmond,MID,Southampton,108.8695,13.506460296835701,81.85657940632859,135.8824205936714,4.0285,7.449,2642.4385
430,Shane Long,FWD,Southampton,43.7045,8.978150129620253,25.748199740759496,61.66080025924051,2.493,0.3315,1343.5825
431,Charlie Austin,FWD,Southampton,36.36,8.020062343897337,20.319875312205326,52.40012468779467,2.0775,0.005,975.743
432,Manolo Gabbiadini,FWD,Southampton,25.6885,6.696302543195015,12.29589491360997,39.08110508639003,1.3975,0.002,703.0465
433,Mario Lemina,MID,Southampton,61.295,11.883516945753057,37.527966108493885,85.06203389150612,1.624,4.412,1606.3295
435,Wesley Hoedt,DEF,Southampton,64.7255,14.066845764065246,36.591808471869506,92.85919152813048,0.8325,4.249,1590.9715
436,Michael Obafemi,FWD,Southampton,7.8045,4.4577213629835555,0.0,16.719942725967112,0.3975,0.0,135.0195
437,Guido Carrillo,FWD,Southampton,8.2915,5.616095418527004,0.0,19.523690837054005,0.464,0.1485,207.203
438,Kurt Zouma,DEF,Everton,118.355,16.536111241764193,85.28277751647161,151.4272224835284,2.2895,8.766,2570.4285
440,Lee Grant,GKP,Man United,6.501,5.344623373073154,0.0,17.190246746146308,0.0545,0.539,150.026
451,Xherdan Shaqiri,MID,Liverpool,102.4235,19.341436031225832,63.74062793754834,141.10637206245167,6.6815,6.3135,1733.5935
454,Ramadan Sobhi,MID,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,Peter Crouch,FWD,Burnley,24.2925,7.245822503346318,9.800854993307365,38.78414500669264,1.236,0.0075,646.8845
474,Lukasz Fabianski,GKP,West Ham,109.143,11.55034852288016,86.04230295423969,132.2436970457603,0.5235,7.5215,3159.994
478,Federico Fernández,DEF,Newcastle,84.696,16.626502458424618,51.44299508315076,117.94900491684923,1.155,6.3845,1847.1175
481,Alfie Mawson,DEF,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,Sung-yueng Ki,MID,Newcastle,56.913,11.563149700665484,33.78670059866903,80.03929940133096,1.4525,4.9305,1468.636
495,Jordan Ayew,FWD,Crystal Palace,69.8185,12.220415612817773,45.37766877436445,94.25933122563555,3.5695,4.902,1745.316
